Nombre de coeurs,Hauteur,Largeur,Sous-Hauteur,Sous-Largeur,t1(ms),t2(ms),t3(ms),t4(ms),t5(ms),t6(ms),t7(ms),Moyenne(ms)
1,100,100000,10,1000,148102.174,149871.684,149592.036,149417.245,147865.483,149155.624,149580.217,149083.494
2,100,100000,10,1000,136464.432,136361.439,136429.054,136837.918,136461.118,136569.284,136369.051,136498.899
4,100,100000,10,1000,130266.360,130834.299,130386.896,130498.364,130591.386,131188.126,130182.903,130564.047
8,100,100000,10,1000,127720.712,128052.467,127717.089,127853.910,127671.441,127509.013,127394.863,127702.785
16,100,100000,10,1000,128733.759,127795.776,126181.576,132899.340,126605.234,127127.782,126314.381,127951.121
